A	whereas the automotive industry is a vital part of Europe’s manufacturing base and a key source of competitiveness, growth and jobs in the EU;
B	Whereas, despite the current economic and financial crisis of unprecedented proportions, Europe’s automotive industry has an important role to play in ensuring that certain skills and sectors of manufacturing are retained in Europe, and this requires coordinated action within the EU;
C	whereas the current economic situation is not the sole cause of this crisis and whereas what is needed is a complete rethink of our approach to mobility in the 21st century, since mobility is a major factor in fostering economic growth;
D	whereas the automotive industry is feeling the effects of a revolution in progress around the world, with demand in Europe falling or stagnating, whereas both demand and production are shifting to the emerging economies, whereas the energy sources used are changing gradually but noticeably, and whereas component parts and functions are being digitised, resulting in increasing levels of productivity, which in turn are bringing about major changes in the value chain;
E	whereas Europe’s automotive industry is still at the forefront of research and innovation worldwide and therefore needs to restore competitiveness and sustainable production throughout the entire production and value chain;
F	whereas one solution to the problem of excess production capacity is to convert capacity to other sectors of industry, such as public transport and renewable energy, and to invest in sustainable infrastructure;
1	Endorses the Commission’s new strategy of launching a new European industrial policy, in particular for the sustainable automotive industry, placed at the heart of Europe's economy;
2	Expects the Commission to coordinate its own efforts more efficiently, in order to ensure that the CARS 2020 recommendations actually become operational and  are monitored by the High Level Group in order not to repeat the failure of the first phase of the CARS 21 process (December 2005), when the conclusions reached were not followed by the necessary action; calls, accordingly, on the Commission to draw up a clear schedule of fast-track measures and, within its remit, to use its right of initiative, notably by drawing up guidelines, in order to coordinate and build on action by Member States and firms  to ensure decent standards of living for EU citizens and to consolidate EU industries, focusing on economic and employment growth and market recovery;
3	Calls on the Commission to develop cross-cutting roadmaps that cover development in the energy sector, the transport sector and the ICT sector;
4	Believes that action by the Commission in this area is being hampered by various constraints and a lack of policy coordination mechanisms; calls on the Commission to submit a study showing the mismatch between what it wishes to achieve and the tools available to it, as the basis for a debate within the Council and Parliament;
5	Believes that the Commission should take into consideration the entire automotive sector, in particular subcontractors, retailers and aftermarket firms, in all future policy-making processes involving the sector;
6	Welcomes the industrial policy conclusions adopted by the Competitiveness Council at its meeting in December 2012; urges the Member States to pursue their stated aim of overhauling industrial policy in the automotive sector and firming up new arrangements for Europe-wide cooperation in that sector; points out that this closer cooperation on industrial policy for the automotive sector can take place either at Union level or on a voluntary basis among a number of countries;
7	Calls on the Member States to carry out properly coordinated and structural reforms geared to enhancing competitiveness, such as support for research and innovation, competence building, staff retraining, lowering indirect costs, enhancing labour flexibility based on social dialogue, cutting red tape and shortening payment periods;
8	Believes it essential, with a view to restoring faith in the EU, for the Union to improve the implementation of its action plan and the way the action plan is communicated to the general public, investors and firms;
9	Considers it essential for cohesive and dynamic research, manufacturing, production and value, and innovation chains to be maintained and further developed in the EU with a focus on the production of sustainable vehicles; takes the view that keeping Europe competitive in the future will depend on creating a virtuous circle that benefits innovation, employment, competitiveness, health, the environment and mobility;
10	Points out that labour costs in the automotive industry account for between just 13 and 20 % of added value; points out, furthermore, that global competitiveness can only be guaranteed by means of innovation throughout the production chain and flexibility in production processes, and that this must accordingly be negotiated with the workers;
11	Stresses the importance of maintaining and strengthening the production base in Europe so as to ensure decent living standards for its citizens and consolidate its industries with a view to achieving economic growth and recovery;
