A	whereas although globalisation has many positive aspects and the global market economy, thanks to the progress of scientific knowledge, has demonstrated great productive capacity, the process of globalisation is generating major economic and social imbalances both within and between countries, which is a matter of intense social concern, given the high unemployment and poverty afflicting large sections of society throughout the world,
B	whereas globalisation increases the gulf between rich and poor, and whereas there is a need to invest heavily in people at all levels of society and of all ages in order to counteract its negative effects,
C	whereas the economy is becoming increasingly global and politicised, and regulatory institutions remain largely national or regional, and whereas none of the existing institutions provides democratic monitoring of global markets or redresses basic inequalities between countries,
1	Welcomes the Commission Communication, which enables an initial debate to be launched on the WCSDG report, with a view to establishing the EU's policy in this regard, but at the same time expects that the Commission will come forward with more concrete proposals for internal and external EU policies in this field;
2	Agrees with the WCSDG that globalisation must be a process with a strong social dimension based on universally shared values, respect for human rights and individual dignity, and must be fair, inclusive and democratically governed, provide opportunities and tangible benefits for all countries and people, and be linked to the Millennium Development Goals (MDGs);
3	Believes that the EU can make a significant contribution to this process through both its internal and external policies, through its social model and its development at international level and through the encouragement of global cooperation based on mutual respect, constructive dialogue and recognition of our common destiny;
4	Notes the reference in the WCSDG report to the unequal distribution of the benefits and burdens of globalisation among and within the countries of the world, and notes that only in Asia has the distribution situation improved since the 1990s;
5	"Considers that globalisation should mean not just that the EU can sell more outside Europe, but that third world countries, in particular, should be enabled to sell more to the EU in order to boost their growth, employment and social inclusion levels; recognises that the Common Agricultural Policy will need to be reformed if this aspect of globalisation is to be delivered and if the ""Make Poverty History"" campaign is to enjoy success;"
6	Calls on the Council and Commission to ensure that the EU's commercial, agricultural and foreign policies are compatible with development policy, as set out in Article 178 of the Treaty, and with the MDGs;
7	Considers that the European Union should take practical action to combat poverty by adopting a more cogent policy on agriculture and trade in combination with debt forgiveness and aid;
8	Stresses that there is a strong interrelationship between poverty and environmental damage: environmental problems, such as the reduction in biodiversity or climate change, often affect the poorest in society and aggravate their poverty, and poverty leads to increased environmental damage when there is no alternative to plundering natural resources; accordingly the social dimension of globalisation must be considered in connection with the environmental dimension;
9	Welcomes the Lisbon mid-term review report and stresses that the revised Lisbon Strategy could serve as a useful tool in meeting many of the challenges of globalisation; reiterates its support for the Lisbon strategy, which stresses the interdependence of the economic, social and environmental dimensions; regards the creation of more and better jobs as an essential prerequisite if the world is to develop in the direction of social justice; points out that some aspects of good practice in Member States may serve as a model for other parts of the world; notes, however, that they can only do so when Member States succeed in implementing the necessary structural reforms by mutually strengthening and adapting their economic development, employment and social policy; highlights the need for efficient governance to achieve these reforms and urges Member States and their governments to take responsibility for making the revised Lisbon Strategy a success; stresses furthermore the importance of cooperation between the Member States in order to step up investment in human resources, research and innovation; considers that the objectives of the Lisbon Strategy are minimum goals which the Member States should commit themselves to complying with;
10	Welcomes the Commission's acknowledgement that to maintain competitiveness in the EU, large investments in human resources are necessary, covering people of all ages, in order to guarantee social welfare for all; expects, therefore, concrete measures and proposals for ensuring such investments and calls on the EU to concentrate on improving the development of qualifications at all levels, particularly among the unskilled, to enable workers to exploit the opportunities offered by globalisation and to support companies that take responsibility for the vocational training of their workers;
11	Calls on the Council and the Commission to promote a social policy agenda with the following objectives:
12	Stresses that effective labour market rules and systems of social security cannot be achieved by governments alone, it is necessary to include the social partners, who have the right  to participate in the decision-making process both at national level and European level; considers that a further boost must be given to the opportunities for and capacities of employers' organisations and trade unions to enter into a constructive social dialogue, since this is essential in order to mitigate and tackle the potential negative social consequences of restructuring and is also a pre-requisite if the EU is to anticipate the negative consequences and positive opportunities of globalisation;
13	Stresses the importance of respecting and complying with the Universal Declaration of Human Rights (UDHR), highlights the interdependence and indivisibility of all human rights – including economic, social and environmental rights – and the importance of the ILO Core Labour Standards (CLS
14	Notes the WCSDG's view that, as far as the CLS are concerned, practice on the ground often belies decisions and political practices; calls on the Council, the Commission and the Member States to do everything in their power to promote the CLS in both their internal and external policies and to ensure that no aspect of these policies impedes implementation of those standards; notes the opportunity open to the EU to promote the CLS through bilateral and regional agreements, development and external cooperation, trade policies enabling market access for developing countries, promotion of private initiatives for social development and the promotion of good governance at global level;
15	Calls for social rights and social dialogue, human rights and the primacy of law, and the protection of the rights of the child, in particular the right to education, to be accorded greater importance in the EU's various external programmes, with a view to priority being given to democratisation and the establishment of the rule of law in developing countries, without which no sustainable development is possible;
16	Demands that the Commission ensure, through bilateral agreements, that, at the least, the CLS are respected, in order to ensure humane working conditions and avoid abuse of women and children in the countries concerned;
17	"Welcomes the Commission's proposal that bilateral relations could involve positive incentives for products complying with certain social standards; welcomes the Commission's proposal for ""joint bilateral observatories"" to discuss and monitor the social dimension of globalisation in bilateral agreements; believes, also, that the Union should use its bilateral relations to promote the recommendations of the WCSDG so that  jobs which are moved off-shore or relocated outside the EU do not end up being performed in sweat shops in the third world, but, instead, jobs of high quality are created which help to improve the lives of workers and their families in the countries concerned;"
18	Calls on the Commission, in this context, to review all its existing bilateral agreements, particularly Economic Partnership Agreements and Fisheries Partnership Agreements, to ensure that they are fully consonant with the MDGs and the principle of sustainable development;
19	Welcomes the Commission's proposal that the Commission, the Council and the Member States seek to attain observer status for the ILO at the WTO with a view to improving the quality of interinstitutional dialogue; notes that in its resolution of 4 July 2002
20	Believes that decent work in line with the ILO's Decent Work Agenda should be made a priority issue at national, EU and global level; stresses that guaranteeing decent work – including labour rights, social protection and equality between men and women – is indispensable in order to effectively eradicate poverty; underlines, however, that that aim is absent from the EU's foreign policy and from the Union's international trade, financial and monetary policies;
21	Notes that, in the 1999 negotiating mandate for the WTO Ministerial Conference in Seattle, the EU was to arrange a ministerial-level conference on the topics of trade, employment and the CLS; notes that the European Union committed itself then to holding this conference by 2001; now calls on the Commission to remedy this omission by June 2006 at the latest; in the run-up to this conference, a dialogue should be opened, principally with the developing member states of the WTO, on the relationship between trade, employment and minimum labour standards;
22	"Believes that the EU as a global actor should be a prime promoter of an agenda of ""Decent Work and a Decent Pension for All""; emphasises that certain minimum standards as regards labour rights and social protection should be adopted and acknowledged as a socio-economic 'floor' that would bring long-term welfare to any country in the world, and that jobs, employment and 'decent work' should, ideally be the central features of a ninth MDG to be adopted as soon as possible;"
