A	 whereas the target of halving the number of road fatalities in the EU by 2010 as well as the ongoing mid-term reviews of the European road safety action programme by the Commission are to be welcomed,
B	 whereas important work is being done by the e-Safety Forum, with the participation of an impressive number of stakeholders,
C	 whereas the enforcement of speed, alcohol and seat belt legislation must be based on the exchange of best practices,
D	 whereas it is universally recognised that exceeding speed limits or driving at a speed inappropriate to the road conditions, driving while under the influence of alcohol, drugs, or particular medicines, and the failure to use seat belts properly play havoc with road safety, given the death toll arising from those factors and the numbers that they leave injured or disabled; whereas even though many efforts have already been undertaken, the high death toll implies that much more needs to be done to achieve the target set for 2010, 
E	 whereas as far as road safety is concerned, the EU has specific obligations explicitly laid down in the Treaties and is empowered to act in areas in which EU action could provide added value over and above the measures taken by Member States, as well as in other vitally important matters such as the use of seat belts and driving licences; whereas, in addition, the scope of EU action has widened and thus covers a further 80 million citizens, 
F	 whereas the exchange of best practice has a particularly important role to play in preventing road accidents, 65% of which occur in towns, 30% out of towns and no more than 5% on motorways, 
G	 having regard to the fact that every year, more than 40 000 deaths are caused by road traffic accidents in the EU and, in addition to the unacceptable human suffering, there are the related direct and indirect costs, estimated at EUR 180 billion or 2% of EU GNP,
H	 noting with satisfaction that vehicles are now four times safer than in 1970, a fact which has contributed significantly to reducing by 50% the number of deaths in the EU of 15 Member States since 1970, during a period in which traffic volumes have tripled,
I	 concerned by the low levels of road safety in some Member States, especially in many of the 10 new Member States; noting that, if all the Member States were to achieve the same results as the United Kingdom and Sweden, the number of fatalities would fall by 17 000 a year in the Union of 25 Member States, representing a reduction of 39% and thus a great step forward, but falling short of the 50% target,
1	Stresses the shared responsibility of all stakeholders, namely the EU, Member States, regional and local authorities, industry, organisations, and individuals to take concrete positive and coherent action to improve road safety and to halve the number of road accident victims by 2010, thereby achieving the common target; stresses that the principle of subsidiarity should be fully respected, without using it as an excuse for complacency or inaction in light of the important responsibility which Europe bears to create the necessary policy framework;
2	Welcomes the planned mid-term review by the Commission of progress made by Member States in implementing the European road safety action programme; 
3	Urges the Commission to propose in its mid-term review a comprehensive and permanent EU road safety framework in which all relevant areas of road safety are detailed, targets and accompanying measures for the EU and Member States are presented and progress is measured against the targets and widely published on a yearly basis;
4	Regrets that the abovementioned Commission Communication on the European road safety action programme did not include an evaluation of the Second Road Safety Action Programme (1997-2001), as an evaluation is essential to avoid the repetition of errors; furthermore, regrets the fact that the Communication failed to address the particular road safety problems of urban areas;
5	Calls on the Commission to develop a long-term road safety concept, going beyond 2010 and describing the required steps leading to the avoidance of all fatalities and serious injuries caused by road accidents ('Vision Zero'); 
6	Considers that the Commission should promote a move towards public transport and soft modes of non-motorised road transport with a view to improving road safety and considers furthermore that a clear framework of political support is necessary in this regard;
7	Is of the view that exchange of best practice and coordination of common policies call for enhanced policy coordination, the dissemination of irrefutable data so as to place poor performers under pressure and a more structured approach than has been the case so far; considers that the vital tasks for which a common approach is needed include, for instance, the following: 
8	Asks the Commission to report to the European Parliament within two years on what institutional setting would be the most appropriate, in terms of independence and expertise, for evaluating and fostering progress on road safety; 
9	"Calls on the Council Presidency to host the 3rd Verona Conference in 2005 and initiate the Verona Process, incorporating it into the proposed EU road safety framework; expects the Verona Process to help create the necessary political leadership, as did the Cardiff or Lisbon processes, by encouraging top-level political decision makers to strongly commit themselves to reducing road accidents; furthermore, considers that performance indicators and peer reviews conducted by Member States can be efficient if used to ""name, shame and fame"" and thus create political pressure to reach targeted safety levels;"
10	Points out that high-level engagement with regard to road safety can - as recently demonstrated in France, where a campaign launched in 2002 reduced the number of fatalities by 30% over two years - bring about significant results in a short time; calls for a higher level of political commitment to road safety across the EU;
11	"Welcomes the fact that the European Road Safety Charter so clearly demonstrates that road safety is a shared responsibility and provides a means for the stakeholders concerned to undertake commitments; is concerned, however, that the Charter has not attracted as many adherents or publicity as initially foreseen; 
proposes that the Charter be promoted by
 a campaign organised jointly at European and national level to publicise the commitments undertaken;
 calls for adequate financial resources to be committed 
also by the Community Institutions and for a strengthened communication strategy to be developed
 so as to attract the interest of a greater number of players, such as SMEs, and to disseminate best practice in each field; calls for yearly road safety awards to be given to best performers at highly publicised events; invites the Commission to study the possibility of reaching individual citizens by means of personal road safety commitments; "
12	Stresses the importance of the buyers of transport services participating actively in the work to improve road safety and calls on the Commission to do everything it can to ensure that buyers of transport services demand that their suppliers meet road safety requirements; calls on the European, national, regional and local bodies responsible to require a plan of action in the area of road safety from the undertakings from which they buy transport services; calls on the Commission to do what it can to ensure that the European road safety charter serve to issue transport undertakings with a certificate certifying that they meet the road safety requirements;
13	Is convinced that only an integrated approach involving all aspects of road safety, namely all road users and all users and purchasers of transport services and especially the driver (physical condition, training, behaviour), the vehicle (its equipment, safety regulations, maintenance) and the infrastructure (condition and maintenance of road networks, the intensity of road use, road building, signs) – together with incentives to make greater use of public transport – and effective legislation in the Member States, can lead to significant and lasting results; 
14	Calls on the Commission, the Member States and their regional authorities to focus their road safety education, legislation and control measures on higher-risk groups;
15	Considers that thorough and high-quality training for drivers, instructors and law enforcement officers is of great importance; calls on the Commission to promote training, as early as in primary schools so as to reduce the death rate among the young, as well as life-long driver education with due regard to the needs of specific groups such as the elderly, disabled people or immigrants; supports Community-wide campaigns especially targeting the most frequent offenders and putting emphasis on the most serious causes of death such as  speeding, drink-driving or the failure to use seat belts; calls for the rapid introduction of the European driving licence not least with a view to enabling the physical and mental faculties of drivers and their driving skills to be checked over time;
16	Expressly supports the Commission's efforts to investigate, in the area of commercial freight transport, the impact of the increasing use of small commercial vehicles on road safety in connection with training, driving and rest times and speed-limiting devices; calls on the Commission to forward the results of this examination to the European Parliament as quickly as possible, if necessary in conjunction with a legislative proposal;
17	Recalls that many fatalities are caused by driver fatigue, as has been demonstrated by a British study
18	Calls on the Commission, the Member States and their regional authorities to pay particular attention to the protection and safety of vulnerable road users, such as pedestrians and cyclists;
19	Is worried about the safety of those vulnerable road users; including young people, for whom the death rate is particularly high; notes that the risk of death in motorcycle or moped travel is 17 times higher than in car travel and that walking or cycling is up to nine times riskier; stresses that safety needs to be significantly improved not only for car occupants but also for vulnerable road users, such as pedestrians, cyclists and motorcyclists; highlights the need to focus on road safety education, legislation and control measures on higher-risk groups through a more holistic approach; calls on the Commission to propose effective measures to ensure that all vulnerable road users benefit from maximum protection - such as hazard warning lights for the safety of two-wheeled vehicles; maintains that all road users should be made aware of the risks and of ways to reduce them; welcomes the EU-funded New Programme for the Assessment of Child Seats (NPACS) that establishes harmonised test and rating protocols; calls on the Commission to investigate whether child safety could be given higher priority in the Community road safety policy, whether extra attention to pedestrian safety could be brought to bear in European New Car Assessment Programme (EuroNCAP) crash tests and in the introduction of the second phase of Directive 2003/102/EC of the European Parliament and of the Council of 17 November 2003 relating to the protection of pedestrians and other vulnerable road users before and in the event of a collision with a motor vehicle and amending Council Directive 70/156/EEC
20	Considers that proper, regular enforcement is of crucial importance for the improvement of road safety; 
21	Points out that enforcing compliance with existing road traffic rules would dramatically improve road safety as most accidents are the result of the non-respect of traffic rules; especially emphasises the importance of compliance with speed, blood alcohol limits, medicine and drug intake as well as with rules on the use of seat belts and helmets noting that these, primarily fall within the competence of the Member States but are in urgent need of coordination and dissemination of best practice; especially welcomes the Recommendation of the European Commission of 17 January 2001 of a maximum alcohol level of 0.5 mg/ml
22	Is aware that cross-border enforcement of road traffic law remains very unsatisfactory owing to the lack of any uniform system by means of which the authorities of one Member State are able to prosecute offenders from other Member States
23	Welcomes the idea of introducing compulsory harmonised pictograms on medical packaging, based on the European classification of drugs according to their effects;
24	Points out the danger of blind spots; calls for rapid, low-cost measures for the  fitting of lorries with mirrors to eliminate blind spots; calls on the Commission to consider the need for and feasibility of revising Community legislation in order to enable manufacturers to introduce central A pillars offering a better field of vision
25	Recalls that a newer car fleet would also be a safer one; regrets that the Commission Communication on the taxation of passenger cars in the European Union (
