A	whereas sustainable development in Africa can be significantly fostered or affected by the action of emerging powers, such as China,
B	whereas African States are primarily responsible for the political, social, economic and environmental impact of the presence of foreign nationals, organisations and governments on their territories,
C	whereas both the EU and China are committed to contributing to peace, security and sustainable development in Africa,
D	whereas the EU is Africa's biggest aid donor and commercial partner; whereas China has announced increasing economic cooperation and aid pledges and may become Africa's largest trading partner by 2010,
E	whereas an African sustainable development strategy must ensure that the involvement of non-African players does not undermine development; whereas, for that reason, the creation of an AU Task Force on Africa's Strategic Partnerships with Emerging Powers is welcomed,
F	whereas initiatives that foster dialogue with Africa are welcomed, such as China-Africa and EU-Africa summits, FOCAC, the EU-Africa Partnership, the EU-African Facilities for Peace, Energy and Water and the EU-Africa Partnership on Infrastructure, the dialogues conducted under the Cotonou Agreement
G	"G	whereas in November 2006 the third FOCAC summit took place in Beijing and adopted a declaration proclaiming the establishment of ""a new type of strategic partnership"" between China and Africa;  whereas this cooperation both meets the challenge of economic globalisation and promotes common development, but a number of African States that have recognised Taiwan are excluded from it;"
H	whereas China has a special responsibility to contribute to global peace and security as a permanent member of the UN Security Council; whereas the EU welcomes China's commitments to various multilateral frameworks such as those under the aegis of the UN, International Labour Organization (ILO), International Monetary Fund, World Bank, World Trade Organization (WTO) and the Kyoto Protocol,
I	whereas the EU is committed to increasing its level of Official Development Assistance (ODA) to 0,7 % of GDP by 2015 (0,56 % by 2010), and to allocate at least 50% of EU ODA to Africa; whereas EU ODA includes EUR 20 billion to Sub-Saharan Africa from the 10th European Development Fund (2008-2013); whereas the EU allocated EUR 350 million to the Africa Peace Facility and EUR 5,6 billion to the EU-Africa Partnership on Infrastructure for 2008-2013; whereas the EU is a major contributor to international peace-keeping missions in Africa, the Global Fund to fight AIDS, Tuberculosis and Malaria and other international initiatives with relevance for the development of the continent,
J	whereas China's presence and interests in Africa are growing; whereas China became a net donor to Sub-Saharan Africa in 2005 and has since increased its aid pledges, promising to double its aid to Africa from its 2006 level by 2009; whereas China has pledged to set up a USD 5 billion China-Africa development fund to encourage Chinese companies to invest in Africa,
K	whereas China's emergence as a further alternative aid donor is challenging the EU's conditional approach towards African governments with a view to securing political reforms,
L	whereas China has lifted 400 million of its own people out of extreme poverty over the past 25 years and, therefore, has significant experience that could be useful to African countries; whereas China nevertheless now faces greater social and economic inequalities and alarming environmental degradation, while political rights and basic freedoms continue to be severely restricted and China continues to show poor labour standards and poor governance accountability,
M	whereas China's increased commitment to development cooperation with African countries is welcomed, in particular the provision of assistance for the building of hospitals, schools and better transport infrastructure,
N	whereas China's economic growth and legitimate interest in developing itself makes the increase in its needs for natural and energy resources and their procurement in developing countries, particularly in Africa, a reality,
O	whereas resource-rich African States are securing an improved market position as a result of the demand from China and other interested parties,
P	"P	whereas it is desirable for China's engagement in Africa not only to include nations that are of interest from the point of view of energy policy, but also for consideration to be given to cooperation with all African states,"
Q	"Q	whereas China accounted for roughly 40% of total growth in global demand for oil in the last four years; whereas 30% of China's crude oil imports come from Africa; whereas China's dependence on imported oil, minerals and other raw materials seems likely to continue to grow, and by 2010 it is expected to import 45% of its oil needs; whereas its rising demand for energy and its desire to broaden its energy imports have led it to seek oil suppliers in African States;"
R	whereas China's oil imports multiplied almost five-fold between 1995 and 2005, turning China into the second largest oil importer worldwide and equalling the EU in terms of supplies imported from Africa; whereas CNPC (a Chinese State-owned oil company) controls an estimated 60% to 70% of Sudanese oil production; whereas in 2006 Angola was China's largest oil supplier; whereas China already imports about 28% of its oil and gas from Sub-Saharan Africa; whereas African oil exports to China are expected to grow in the coming years,
S	whereas the exploitation of African natural resources by foreign countries or companies can bring development, but could also lead to resource depletion, undermine governance, lead to opportunities for corruption, especially where cultures of corruption are already widespread, aggravate social inequalities and macro-economic stability difficulties and create or exacerbate conflict, posing a serious threat to poverty reduction and sustainable development,
