A	 whereas the worrying current rate of biodiversity loss is likely to gather pace and continue in the absence of large-scale measures,
B	 whereas there are few adequate indicators available for effectively measuring the extent to which the imperatives of biological diversity are being complied with in the implementation of the various policies, one of the most notable being the Common Farmland Bird Index,
C	 whereas biodiversity plays an essential role in sustaining life and livelihoods, economic and social development and human well-being, as well as in achieving the 2015 Millennium Development Goals,
D	 whereas, according to the UN 2005 Millennium Ecosystem Assessment, there has been a decline in two thirds of all ecosystems since the beginning of the 1960s,
E	 whereas the main factors behind the loss of biological diversity are climate change, environmental degradation, the use of intensive farming methods and inappropriate forest and water resource management,
F	 whereas, as a user of biodiversity, agriculture has a key role to play in managing and maintaining that biodiversity; and whereas the common agricultural policy (CAP) must henceforth promote sustainable production models which, while being economically viable, enable action to be taken on the environment and on regenerating and rehabilitating the biodiversity of as many animal, plant and microbial species as possible,
G	 whereas there is an urgent need for intensified and coordinated efforts to halt the loss of biodiversity by 2010 at the latest,
1	Welcomes the above-mentioned Commission Communication (
2	Welcomes the Potsdam Initiative agreed on 17 March 2007 by the G8+5 (China, India, Mexico, South Africa and Brazil) that aims at contributing to curb the massive loss of biodiversity by 2010; encourages the G8+5 to urgently implement the adopted initiative and to provide funding to protect the oceans, to support research and to improve monitoring of species threatened by extinction;
3	Stresses the intrinsic value of biodiversity and the urgency of protecting it from further degradation due to human influence and interference, including but not limited to exploitation, climate change and habitat loss;
4	Expresses profound concern at the continuing loss of biodiversity and the related decline of ecosystem services;
5	Recognises the vital importance of healthy ecosystems for prosperity and well-being in EU and worldwide;
6	Stresses that climate change and biodiversity loss are closely linked and are equally important;
7	Reaffirms the urgent need for an effort to meet commitments to halt the loss of biodiversity in the EU by 2010, made by the European Council in Gothenburg 2001 in the context of the Sustainable Development Strategy and the Sixth Environment Action Programme; underlines the urgent need for intensified and coordinated efforts to halt this trend, in particular in the light of the short time remaining to meet the 2010 commitments; supports the integrated approach proposed in the Commission's communication, according to which halting the reduction in natural diversity should form part of all relevant EU policies;
8	Recognises the potential importance of the emerging concept of ecosystem services promoted by the Commission Communication as a tool for incorporating the economic value of biodiversity into other policy areas, and suggests that the maintenance of ecosystem services should become a fundamental goal of all EU horizontal and sectoral policies; warns, however, against reducing the value of biodiversity to the benefits humans can derive from it, or viewing the loss of biodiversity as only an economic concern;
9	"Welcomes the ""EU Action Plan to 2010 and Beyond"", annexed to the Commission Communication, and recognises that this is a vital tool and last opportunity to bring together actors at Community and Member State levels on key actions to meet the 2010 commitments; but given the limited time remaining for implementation, urges the Commission to ensure the necessary structures are in place for its immediate and effective implementation at Community and Member State levels;"
10	Recognises that the Action Plan will be insufficient to conserve biodiversity and sustain ecosystem services in the longer term; welcomes all proposals to launch an EU debate on a longer-term vision as a framework for a longer-term policy; invites the Commission to start a process for the development of a long-term EU vision for biodiversity, as a framework for further policy development.
11	In this contexts calls on the Commission to study and make proposals for practical measures to internalise the cost of biodiversity loss in activities that have a significant negative impact on biodiversity;
12	Takes the view that the whole of EU society, including the business and education sectors, needs to be actively involved in the biodiversity protection process;
13	Stresses the vital role played by the Birds and Habitats Directives in protecting the EU's biodiversity; recognises the importance of completing the Natura 2000 network (established under the Habitats Directive) on land and at sea, of effective management and adequate financing of the network, of land use planning that takes it into account, and of strengthening coherence, resilience and connectivity of the network, in particular in the light of climate change;
14	Emphasises the importance of including in the Natura 2000 network areas in the overseas countries and territories which are under the sovereignty of EU Member States;
15	Stresses the importance of additional measures focused on threatened species and recognises the value of extending the use of species action plans in this regard; stresses that the conservation status of habitats and species whose protection is required by the Habitats Directive should be reviewed on a scientific basis at regular intervals;
