1	Regrets that, in general, the Commission's report on the Protection of the European Union's financial interests – Fight against fraud – Annual Report 2009 (
2	Stresses that fraud is an example of purposeful wrongdoing and is a criminal offence, and that an irregularity is a failure to comply with a rule; regrets that the Commission's report fails to consider fraud in detail and deals with irregularities very broadly; points out that Article 325 of the Treaty on the Functioning of the European Union relates to fraud, not irregularities, and calls for a distinction to be made between fraud and errors or irregularities;
3	Points out that over the last few years techniques have been developed for measuring fraud as part of a broader attempt to combat corruption, and urges the Commission to boost these research efforts and to implement, initially as pilot projects, in cooperation with Member States, appropriate new methodologies which are being developed to measure the phenomena of irregularities and fraud;
4	Calls on the Commission to exercise its responsibility in ensuring compliance by Member States in their reporting obligations with a view to providing reliable and comparable data on irregularities and fraud even if this requires the Commission to modify the penalty system for non-compliance with these reporting obligations;
5	Deplores the fact that large amounts of EU funds are still wrongly spent and calls on the Commission to take appropriate action with a view to ensuring prompt recovery of those funds;
6	Is concerned about the level of outstanding irregularities not recovered or declared unrecoverable in Italy at the end of the fiscal year of 2009;
7	Calls on the Commission to hold Member States more accountable for the amount of irregularities that have yet to be recovered;
8	Notes that Union legislation requires Member States to report all irregularities no later than two months after the end of the quarter in which an irregularity has been subject to a primary administrative or judicial finding and/or new information about a reported irregularity becomes known; calls on the Member States to make all the necessary efforts, including the streamlining of national administrative procedures, to meet the required deadlines and reduce the time gap between the identification and the reporting of an irregularity; calls on the Member States to act primarily as protectors of taxpayers' money in their efforts to combat fraud;
9	Asks what steps the Commission has taken to combat the increase in suspected fraud, in number of cases and amounts as compared to the total number of cases of irregularities in the Member States of Poland, Romania, and Bulgaria;
10	Is concerned at the suspiciously low suspected fraud rates in Spain and France, especially considering their size and the financial support received, as described by the Commission in the PIF report 2009, and therefore calls on the Commission to include detailed information on the applied reporting methodology and the fraud detection capability in these states;
11	Calls on those Member States which have not yet ratified either the Convention of 26 July 1995 on the protection of the European Communities' financial interests
12	Welcomes the introduction in 2009 of the Irregularity Management System (IMS), an application developed and maintained by OLAF, and the positive developments it has brought about; is concerned that the Commission explains the increase in the number of cases reported and the financial impact by the use of new technological reporting; calls on the Commission to provide Parliament with a detailed methodology of the newly implemented technological reporting and to include it in next year's report; calls on the Member States to fully implement the IMS and to further improve their reporting compliance;
13	Asks the Commission to include in its next year's report the amount of irregularities reported using the new technological reporting as against the traditional methods of reporting; calls on the Member States to improve the speed with which irregularities are reported;
14	Reiterates its regret – given the serious doubts about the quality of the information provided by the Member States – that the Commission puts more effort into convincing the European Parliament of the need to introduce a ‘tolerable risk of error’ than into persuading Member States of the need for mandatory national management declarations duly audited by the national audit office and consolidated by the Court of Auditors; calls on the Commission, in cooperation with the Member States and by drawing up an appropriate report in line with the Treaty, to provide Parliament with a reasonable assurance that this objective has been attained and that action to combat fraud is being carried out properly;
15	Is concerned about the amount of fraud as compared to irregularities in the Own Resources sector in the Member States Austria, Spain, Italy, Romania, and Slovakia, as fraud constitutes more than half the total amount of irregularities in each Member State; calls on the Member States to take all necessary measures, including close cooperation with European institutions, to address all causes of fraud relating to EU funds;
16	Deplores the deficiencies in national customs supervision revealed by the Court of Auditors – in particular as regards the performance of risk analysis for the selection of traders and imports to be subject to customs controls – which increase the risk of irregularities remaining undetected and could lead to a loss of Traditional Own Resources (TOR); calls on the Member States to strengthen their customs supervision systems and on the Commission to provide the relevant support in that respect;
17	Emphasises the fact that around 70 % of all customs import procedures are simplified, which means that they have a substantial impact on the collection of TOR and on the effectiveness of the common trade policy; finds unacceptable, in that context, the lack of effective controls on simplified procedures for imports in the Member States, as revealed in the Special Report of the Court of Auditors No 1/2010, and calls on the Commission to further investigate the effectiveness of controls for simplified procedures in the Member States, and in particular to investigate progress in the conduct by Member States of ex-post audits, and to present the results of such investigation to the Parliament by the end of 2011;
18	Notes the outcome of investigations carried out by OLAF in the area of own resources; is deeply concerned at the scale of fraud involving merchandise imported from China, and urges the Member States to recover the sums in question without delay;
19	Welcomes the successful outcome of the joint customs operation Diabolo II, involving customs officials from 13 Asian countries and 27 EU Member States, coordinated by the European Commission through OLAF;
