A	 whereas around 80% of European population lives in cities, yet their needs and interests are not always appropriately represented in the European Union's funds, projects, initiatives and strategies, 
B	 whereas the aim of the Thematic Strategy on the Urban Environment (TSUE) is to contribute to the overall environmental performance of cities in Europe, by reducing bureaucracy and enhancing efficiency of the implementation of environmental policy, and encouraging long-term environmental planning at local level,
C	 whereas, given that the share of public transport in new Member States, although on the decline, is still higher than in the old Member States, measures need to be considered that would be able to halt a further decline in the use of public transport, 
D	 whereas the 6th EAP promoted in particular the need to tackle rising volumes of traffic and to achieve a significant decoupling of transport growth and GDP growth,
E	 whereas the energy dependency of the European Union should also be addressed at urban level, with the largest increase in energy consumption being in the transport sector, and whereas policies on other sectors such as housing and the choice of energy sources for heating are, in the main, decided at local level, 
1	Welcomes the communication from the Commission on the TSUE; however, considers that it is not sufficient to achieve the goals set in the 6th EAP;
2	Supports in particular the fact that the communication also recognises the important role of cities as economic drivers;  
3	Shares the Commission's analysis that environmental problems in cities are particularly complex because their causes are inter-related and echoes the Commission's warning that local initiatives to resolve one problem can lead to new problems elsewhere; 
4	Regrets that, contrary to the intentions of the 6th EAP, there are no legally binding measures and deadlines proposed by the Commission to address any of the goals set by the 6th EAP;
5	Regrets also that the TSUE does not attempt to balance European policy between urban and rural areas, or between centrally located towns and cities and those in outlying areas; 
6	Calls on the Commission to issue guidelines on the application of the forthcoming Directive on ambient air quality and cleaner air for Europe and to ensure the proper enforcement of this piece of legislation;
7	Stresses that the Commission, in cooperation with the national authorities, should encourage every agglomeration having more than 100 000 inhabitants to establish a Sustainable Urban Management Plan (SUMP) and a Sustainable Urban Transport Plan (SUTP);
8	Demands that the Commission guidance document incorporate core common indicators in line with obligations and targets under relevant existing EU environmental policy (e.g	air, noise, water and waste directives, energy efficiency and climate policy)  to allow for comparisons and benchmarking between European cities; 
9	Considers that the SUMP should take into consideration among others the following documents:
10	Considers that SUMPs should be set out as follows:
11	Stresses that citizens, NGOs, business organisations and other stakeholders should be involved in the preparation of the SUMPs, which should be made available to the public; considers, furthermore, that regular evaluation of progress made and dissemination of the results of such evaluations are also essential;
12	Encourages the Commission to carry out a mid-term review of the implementation of the technical guidelines in connection with the 2009 consultation and supports the Commission's work in connection with setting up a thematic Internet portal for local authorities;
13	Calls on the Commission to propose a target for green areas per capita for new urban development and considers that that target should be included in the SUMPs so as to prevent any reduction in green areas in urban areas not reaching this target;
14	Calls on the Member States to prioritise  within their national strategic reference frameworks and their operational programmes funding for projects which implement sustainable urban management and transport plans, as well as projects limiting greenfield and promoting brownfield developments
15	Calls on the Member States to promote the use of the Environmental Management and Audit Scheme by local authorities;
16	Calls on urban authorities to make systematic reference to sustainability criteria in their public procurement tenders and to incorporate commitments to that effect in SUMPs; 
17	Supports the promotion of composting, as opposed to burning, waste vegetation in order to avoid locally occurring pollution;
18	Considers it also important to get citizens more involved in local decisions both by political and technical means;
19	Believes that more attention should be paid to preventing and removing dirt, litter, graffiti, animals' excrement and excessive noise from domestic and vehicular music systems;  
