A	 whereas in the UN Convention on the Rights of Persons with Disabilities (the Convention) it is recognised that women and girls with disabilities are often at greater risk, both within and outside the home, of violence, injury or abuse, neglect or negligent treatment, maltreatment or exploitation,
B	 whereas the Convention also emphasises the need to incorporate a gender perspective in all efforts to promote the full enjoyment of human rights and fundamental freedoms by persons with disabilities,
C	 whereas the Convention recognises the right of all persons with disabilities who are of marriageable age to marry and to start a family,
D	 whereas nearly 80 per cent of women with disabilities are victims of psychological and physical violence and whereas the risk of sexual violence is greater for them than for other women; whereas violence is not only a common feature of the lives of women with disabilities but is also sometimes the cause of their disability,
E	 whereas persons with disabilities constitute a diverse population group, and actions designed to support them must take into account both this diversity and the fact that some groups, such as women with disabilities, face additional difficulties and multiple discrimination,
F	 whereas, according to research carried out in the Member States, it is the mothers of disabled children in particular who take steps (medical, educational, administrative, etc.) aimed at finding out about their child's disability and finding the best solutions for tackling it,
G	 whereas responsibility for disabled and dependent persons is usually taken on by women and this means, in certain cases where there are no appropriate care facilities, that they must leave the labour market,
H	 whereas both the EU institutions and the Member States' central and regional authorities should take action designed to ensure that equality for all is real and effective, and whereas the Year of Equal Opportunities for All (2007) should serve as a catalyst for this,
I	 whereas women with disabilities suffer multiple discrimination on the grounds of sex, race, impairment and disability and are at greater risk of poverty and social exclusion,
J	 whereas the equal treatment of women with disabilities and mothers of children with disabilities is a fundamental human right and an ethical obligation,
1	Calls on the Commission and the Member States to ensure the removal of existing barriers and obstacles, including architectural barriers, with a view to creating equal rights and opportunities for women and girls with disabilities to play a part in family, political, cultural, social and professional life, particularly through better implementation of Community anti-discrimination and gender-equality legislation and better use of the opportunities provided by relevant Community programmes and the European Social Fund;
2	Calls on the Member States to take full account of the needs of persons with disabilities and the special needs of women in all national, regional and local policies, particularly those relating to town planning, education, employment, housing, transport, health and social services;
3	Calls on the Commission and the Member States to adopt and implement the necessary measures to support women with disabilities so that they may progress in those areas of social life and the world of work, culture and politics in which they are still underrepresented;
4	Calls on national and regional governments to promote and fund, with adequate resources, innovative policies and services addressing gender and disability, in particular regarding personal assistance, mobility, health, education, training, lifelong learning, employment, independent living and social security;
5	Calls on the Commission and the Member States to put in place effective legislation and policies focusing on women and children which will ensure that instances of exploitation, violence against and sexual abuse of persons with disabilities – within their places of residence and elsewhere – are identified and investigated and, where appropriate, lead to prosecution; suggests that, in that context, particular attention be paid to women with disabilities whose disability prevents them from representing themselves and that preventive measures be drawn up to eliminate any differences between the rights of disabled women and those of other women as regards their personal physical integrity and their sexual expression;
6	Is shocked at the fact that women with disabilities are three times as likely to be the victims of violence as women without disabilities and calls therefore for the Daphne Programme to be used also to combat this type of violence;
7	Emphasises the importance of actively combating the segregation from childhood onwards of people with disabilities;
8	Calls on the Commission and the Member States to promote pilot schemes and tried and tested procedures for integrative establishments from kindergarten, school and training to professional life;
9	Stresses the need for the European Union to take all possible steps, including legislative action, to streamline its aid system and make more funding available for women and children with disabilities;
10	Calls on the Member States to address the lack of adequate health care for women with disabilities by providing specialist medical staff and appropriate infrastructures;
11	Calls on the Commission, in conjunction with the competent national authorities, to investigate the particular health and medical care problems suffered by women with disabilities, focusing on prevention and information;
