Whereas:
11.  A high general level of safety should be ensured in civil aviation in Europe and all efforts should be made to reduce the number of accidents and incidents to ensure consumer confidence in air transport.
12.  The expeditious holding of safety investigations of civil aviation accidents and incidents improves aviation safety and helps to prevent the occurrence of such accidents and incidents.
13.  The sole objective of safety investigations should be prevention of future accidents and incidents without apportioning blame or liability.
14.  Council Directive 94/56/EC of 21 November 1994 establishing the fundamental principles governing the investigation of civil aviation accidents and incidents[10] needs to be replaced to improve the efficiency of the investigation and prevention of civil aviation accidents and incidents systems that it contributed to establish in the Community.
15.  Account should be taken of the changes in the institutional and regulatory framework governing civil aviation safety in the Community which took place since the adoption of Directive 94/56/EC and in particular of the establishment of the European Aviation Safety Agency.
16.  Account should be taken of the Convention on International Civil Aviation, signed in Chicago on 7 December 1994, which provides for implementation of the measures necessary to ensure the safe operation of aircraft; particular account should be taken of Annex 13 to this Convention, and of its subsequent amendments which lay down recommended international standards and practices for aircraft accident and incident investigation.
17.  The European Aviation Safety Agency carries out on behalf of the Member States the functions and tasks of the State of Design, Manufacture and Registry when related to design approval, as specified in the Chicago Convention and its Annexes, and therefore should be represented during a safety investigation to contribute to its efficiency and to ensure safety of aircraft design, without affecting the independent status of the investigation.
18.  Given its increasing safety responsibilities, the European Aviation Safety Agency should also participate in the exchange of data in the framework of the occurrence reporting systems; this data should be adequately protected from unauthorised use or disclosure.
19.  The scope of safety investigations should depend on the lessons which can be drawn from them for the improvement of aviation safety, especially taking into account the need for the cost efficient utilisation of investigation resources in the Community.
20.  Safety investigation of accidents and incidents should be carried out by or under the control of an independent safety investigation authority in order to avoid any conflict of interest and any possible external interference in the determination of the causes of the occurrences being investigated.
21.  The capacity of safety investigation authorities of the Member States should be strengthened and the cooperation between them is necessary to improve the efficiency of the investigation and prevention of civil aviation accidents and incidents in the Community.
22.  The coordination role of safety investigation authorities should be recognised in a European context, by taking into account the already existing cooperation between them and the investigation resources available in the Member States which should be used in the most cost-efficient manner; this could be best achieved by establishing a European Network of Civil Aviation Safety Investigation Authorities ('the Network').
23.  The Network should pursue its coordination activities in a transparent and independent manner and be actively supported by the Community.
24.  The objectives of this Regulation may be efficiently achieved through cooperation with European third countries, which should be allowed to participate in the work of the Network.
25.  The Member States should, in compliance with the legislation in force as regards the powers of the authorities responsible for the judicial inquiry and, where appropriate, in close collaboration with those authorities, ensure that the authorities responsible for safety investigations of civil aviation accidents and incidents are allowed to carry out their tasks in the best possible conditions; the objectives of a judicial inquiry should not be compromised either.
26.  Efficient safety investigation is only possible if important pieces of evidence are duly preserved.
27.  The civil aviation safety system is based on feedback and lessons learned from accidents and incidents which require strict application of confidentiality to ensure the future availability of valuable sources of information; in this context sensitive safety information should not be used for purposes other than prevention of accidents and incidents unless there is an overriding public interest in its disclosure.
