A	whereas Europe is not yet on the path towards genuinely sustainable development,
18	Is nonetheless concerned at the various proponents' suggestions that common regulations should be reduced and weakened, or even replaced with voluntary agreements or other non-binding measures; therefore reiterates that better regulation should concentrate on unambiguous and transparent rules and standards based on legislation linked to agreed objectives, and on better enforcement thereof;
19	Commends the Commission's proposals to strengthen enforcement of environmental legislation at the national level through improved access to justice and harmonised use of punitive law; notes that the preventive aspects of punitive law contribute to better enforcement and protection of the environment;
20	Calls, furthermore, for EU environmental policies to be designed, and reviewed, so as to focus more on goal prescriptions rather than means descriptions, leaving Member States and farmers free to find the most effective and efficient means for reaching the desired goals;
21	Considers that the Commission should ensure full implementation of the Birds and Habitats Directives; recommends, with due regard for the principle of subsidiarity, that taxation measures be taken to promote best practice and deter people from engaging in activities that generate pollution;
22	Draws the Commission's attention, however, to the fact that holding out the prospect of consequences under criminal law is not sufficient in every case to prevent illegal and at the same time environmentally polluting behaviour; stresses therefore the importance of penalties after the fact under criminal law, particularly for the illegal dumping of hazardous waste in the territory of other countries;
23	Welcomes the Commission's green paper on market-based instruments for environment and related policy purposes; believes that wider use of market-based instruments, taking the environmental impact of all production and distribution processes and consumption patterns into consideration, is needed;
24	Is of the opinion that the EU Emissions Trading Scheme (ETS) has so far not led to reductions in CO2 emissions because of the overly generous allocation of emission allowances; points out that the EU has committed itself to reducing its greenhouse gas emissions from 1990 levels by at least 20% by 2020; insists that the EU ETS for the post-2012 period should include a sufficiently stringent cap, full auctioning and a quantitative and qualitative limit of the use of certified emission reductions (CERs) and emission reduction units (ERUs);
25	Nevertheless, notes that the role of eco-taxation remains modest and does not show an increasing trend; calls on the Commission and the Member States to devote more effort to ecological tax reform including a gradual shift of the tax burden from welfare-negative taxes (e.g	on labour) towards welfare-positive taxes, (e.g	on environmentally damaging activities, such as resource use or pollution); points out that, despite the unanimity requirement in the area of taxation, the treaties offer the possibility of enhanced cooperation, and draws attention to the existence of the open coordination method;
26	Notes the impetus that has been given to removing environmentally harmful subsidies; however, finds it unacceptable that no concrete steps towards the reform of environmentally harmful subsidies are expected in the near future, and therefore calls on the Commission to put forward concrete proposals by the end of 2008 to phase out gradually all environmentally harmful subsidies over the next five years;
27	Urges the Commission and the Member States to promote stronger and more coherent environmental policy integration in all EU policy-making; with the aim of implementing the 'health in all policies' approach which has been proclaimed in the European Union, calls for integration of environmental protection and health protection aspects into all policies and also to involve regions and towns in this; regrets both the lack of integration of these aspects in various environmental legal frameworks and the preparations for new legislation and the lack of their integration into legislation which has primary objectives other than environmental protection;
28	Considers that, in order to achieve concrete results in the integration of environmental considerations in other economic sectors, there is a need to draw up binding sectoral targets and timetables; at the same time, stresses the responsibility of economic actors in individual sectors of industry for achieving long-term results in terms of climate and energy policy;
29	Emphasises the fundamental link between an efficient environmental policy and improved quality of life and, in this connection, highlights the importance of the regional dimension in the implementation of the Sixth EAP, especially in actions concerning the mitigation of and adaptation to climate change; highlights the importance of campaigns to raise public awareness of the objectives of the Sixth EAP and its implementation process;
30	Points to the need for regional development plans to take into account the Natura 2000 programme, so as to reconcile the principle of protecting Europe's biodiversity with the development and improvement of quality of life; with this in view, believes that a wide-ranging information campaign is needed, together with the promotion of good practice, to demonstrate how these two apparently contradictory goals can be reconciled;
31	Emphasises the need for better coordinated networks of regional and local actors in order to disseminate best practices to less developed regions and implement them; supports the promotion of cross-border environmental cooperation, both among Member States and with countries and regions neighbouring the EU, such as the regions of the Black Sea and Baltic Sea as well as the Mediterranean, particularly with the aim of preventing cross-border pollution;
32	Is concerned by the findings of various independent studies(20)(21)(22)(23) that the Commission guidelines on impact assessments are not fully respected by Commission DGs, that the assessment and quantification of economic impacts has been emphasised at the expense of environmental, social and international impacts, that the costs of legislation are assessed far more than the benefits, and that short-term considerations overshadow the long-term; considers that such unbalanced impact assessments are counterproductive with regard to environment policy itself and its integration into other EU policies; calls on the Commission to take action to rectify these persistent deficiencies;
33	Commends the Commission for its strong commitment to enhancing the international dimension of environment policy; believes it is necessary to ensure environmental policy integration into all the EU's external actions and to improve international environmental governance; encourages the Commission and the Member States to continue promoting ambitious environmental policies and requirements, for example by promoting technology transfer and the exchange of best practice with developing countries;
34	"Stresses that ""climate diplomacy"" should be promoted with greater intensity and consistency in the EU's trade relations with states which are not bound by multilateral environmental protection agreements, such as the United States, China and India, which, for various reasons, are not implementing the Kyoto Protocol; also calls on the Commission to assist developing countries in the deployment of sustainable and efficient technologies through all mechanisms available;"
35	Recommends that a sustainability clause be added to the WTO, setting out principles of environmental policy, such as the precautionary principle and the polluter pays principle, against which trade measures can be judged, in order to ensure that trade rules do not undermine environmental protection and that environmental regulation is not used for the purposes of protectionism;
36	Calls on the Council and the Commission to use bilateral and regional trade negotiations to address trade commitments that have direct environmental benefits; considers that the EU, together with the Member States, needs to intensify dialogue with emerging economies in order to turn the dialogue in areas of mutual concern, such as climate change, waste management and illegal logging, into the implementation of joint programmes; supports the Commission's proposal to establish a Sustainable Development Forum, open to the participation of civil society, with a strong climate component, in each trade agreement and calls for this to be implemented in the current negotiations;
37	Calls on the Commission and the Member States to promote a more pragmatic and horizontal exploitation of innovation and new technologies in all EU policies, so that those elements play a pivotal role in strengthening the preservation of the environment; stresses the need to introduce without delay an EU 'top runner' approach, a more ambitious ongoing improvement instrument for production and consumption patterns, to ensure that, in future, all EU market products are conceived, produced and used in accordance with sustainability criteria;
38	Recalls that investing in innovative, environmentally friendly technologies and in eco-design, energy end-use efficiency and energy performance of buildings is very beneficial in the long term, despite possible high short-term costs, and emphasises the need for regions to encourage companies to take full advantage of such investments;
39	Encourages the Commission and Member States to adopt genuinely 'green' public procurement rules in order to promote innovation and sustainable consumption and production patterns;
40	Calls on the Commission to assist national, regional and local authorities to engage in joint sustainable procurements by providing a clear framework to facilitate the definition of measurable objectives and quality criteria;
41	Calls on the Commission to intensify its efforts to achieve the 20% target for renewables and the 10% target for biofuel consumption keeping in mind that energy crops must not jeopardise food supplies in Europe and elsewhere; stresses that the sustainability mechanism, which is at the development stage, should apply the most stringent sustainability criteria to biofuels;
42	Points out that agriculture in the EU is increasingly geared to the production of safe, high-quality foods which will protect the health of Union citizens;
43	Encourages the Member States and their regional and local authorities to make optimal use of the new investment opportunities provided by the Structural Funds and the New European Neighbourhood Policy Programmes and to ensure that their Operational Programmes and projects supported by Structural Funds contribute to improved implementation of Community environmental legislation and the long-term goal of EU-wide sustainable development in a way consistent with the other thematic priorities;
44	Considers it essential to improve the application of the substitution principle, which takes into account the availability, accessibility, benefits and costs of substitute products; points out that account must also be taken of the design, production and use processes, which enable the use of products that do not represent a risk for human health and the environment, or present a lesser such risk;
45	Points out that, if better regulation is indeed an aim, there should be a revision of the overlap in legislation that generates a bureaucratic burden and undermines competitiveness;
46	Considers that the philosophical approach applied to the revision process is devoid of critical reasoning and does not involve analysis of the reasons and grounds for the delays; believes that only by analysing and reflecting on the causes of these delays can the right moves be made in the future;
47	Points out that if there genuinely is a wish to improve legislative methodology and to produce practicable rules that will be easy for the competent authorities, enterprises and citizens to apply, it is imperative to widen interaction between Community institutions and bodies and civil society so as to respond to their queries and to take into account the decisions and opinion of the regions, town halls, affected industries and related associations; stresses also that short-term costs for transformation of existing equipment must be taken into account;
48	Points out that new ways to measure welfare based on realistic values for ecological services are needed; considers that GDP, as it cannot alone reflect all facets and needs of a modern society, is no longer an adequate tool to measure well-being and development; encourages the EU to further develop and make political use of a new indicator that integrates the negative impact of economic progress on our environment and health and that contributes to the effort of decoupling economic growth from the exertion of pressure on the environment; considers that this new indicator should promote the development of an integrated society and give the impetus for better integration of environmental considerations in other policies;
49	Calls on the Commission to treat the protection of human health as an issue of the first importance among environmental protection priorities;
50	Considers that the European Union should play a leading role in the development of policy options that would pave the way for radical behavioural changes in consumption and production patterns;
51	Stresses the importance of helping consumers to become more aware in their behaviour, which − going beyond the State legal framework − may have a positive influence on the extent and intensity of the environmental commitments of market actors;
52	"Considers that the provision of proper information to citizens should be considered a priority; strongly supports the development of a clear and comprehensive labelling system as it would greatly contribute to helping consumers to ""make the right choice"";"
53	Insists that an overall assessment be made of the results of the Sixth EAP before the proposal for the Seventh EAP is finalised;
54	Takes the view that the final review of the Sixth EAP should be performed by an outside body independent of the Commission;
55	Instructs its President to forward this resolution to the Council, the Commission and the governments and parliaments of the Member States.
