A	whereas this resolution contains, for each body within the meaning of Article 185 of Regulation (EC, Euratom) No 1605/2002, the horizontal observations accompanying the discharge decision in accordance with Article 96 of Regulation (EC, Euratom) No 2343/2002 and Article 3 of Annex V to Parliament's Rules of Procedure,
B	whereas, following the adoption of the above-mentioned Commission Communication, Parliament, the Council and the Commission have re-launched the project of defining a common framework for the agencies and set up an inter-institutional working group,
1	Observes that in 2007 the European Court of Auditors (ECA) audited 23 decentralised agencies, 3 executive agencies and the Euratom Supply Agency, a body set up under the Euratom Treaty; notes that the subsidies from the Community budget in 2007 for the decentralised agencies amounted to EUR 452 000 000; emphasises that more than EUR 1 000 000 000 has been allocated to agencies' budgets through other revenues such as own revenues from fees, contributions from EFTA countries and special contributions of Community programmes;
2	Notes that the number of agencies subject to the discharge procedure has greatly increased in recent years from 8 in 2000 to 21 decentralised plus three executive agencies in 2007, not including three agencies which are audited by the ECA but not subject to discharge by Parliament;
3	Points out that the budgetary authority has authorised 3 487,5 posts in the establishment plans of the decentralised agencies; notes that, according to the documents provided by the ECA, 2 823 posts have been filled, in addition to the 961,5 contractual agent and national expert posts;
4	Welcomes the above-mentioned Commission report on the follow-up to 2006 Discharge Decisions;
5	"Points out again that Community law does not contain a definition of an agency, and supports the definition of agencies as ""bodies set up by the Communities having legal personality"
6	"Reiterates in this context the term ""decentralised agencies"" as a general term for the traditional agencies; considers that the term ""regulatory agency"", which is increasingly used as a generic term, is misleading, as not all decentralised agencies have regulatory tasks;"
7	Recalls that decentralised agencies are set up by the European legislator for a variety of reasons such as the provision of certain services, the employment of specialist expertise and the carrying-out of regulatory and monitoring tasks;
8	Considers the establishment of the budget of decentralised bodies and assessment of the implementation of the respective budget as core responsibilities of its Committee on Budgets;
9	Urges the ECA, for the sake of transparency, to consider the three categories of agencies in its next annual report;
10	Notes that the ECA observed an improvement with regard to financial discipline compared to the financial year 2006, but that nevertheless in some of the agencies the areas of recruitment and procurement still contained weaknesses which must be addressed by the authorising officers;
11	Deplores the fact that the ECA again found serious problems as regards the implementation of procurement rules and the Staff Regulations in many agencies; is not prepared to accept that these weaknesses have persisted over many years; considers that the revision of the Regulation (EC, Euratom) No 2343/2002 will not do away with these problems and that a fundamental overhaul of the legal framework is needed;
12	Notes the Commission's statement that all necessary support was granted to those agencies wishing to migrate to ABAC (Accrual Based Accounting); notes that the agencies in some cases considered the support as insufficient;
13	Notes that the issue of agencies over-estimating their cash requirements was addressed in the revised Regulation (EC, Euratom) No 2343/2002 , which contains provisions reinforcing the agencies' obligation to submit, in their payment requests, rigorous forecasts of their real cash requirements throughout the year, in order to avoid unnecessary cash-flows;
14	Urges the Commission to consider technical abatement in order to lower surpluses in case of low implementation rates and persistently high vacancy rates, which will also trigger a reduction of assigned revenue;
15	Notes, in this context, the difficulties of decentralised agencies in recruiting highly qualified staff and experts; invites the Commission and the European Personnel Selection Office to strengthen their supporting efforts;
16	Urges the Commission to continue scrutinizing the agencies' budget implementation for 2008 and 2009 and to make the necessary adjustments to the agencies' budget proposals;
17	Welcomes the Commission's efforts, since the 2009 Preliminary Draft Budget (PDB), to systematically take into account the last known surpluses (in the case of the 2009 PDB, those of year n-2) when calculating the Community contribution; in order to improve transparency and efficiency, calls on the Commission, as a principal rule, to provide detailed information on the procedures for calculating and accounting for all types of assigned revenue at the agencies' disposal, specifically those arising from previous years' surpluses;
18	Welcomes the Commission's decision to follow the requests of the budgetary authority to take assigned revenues into account when drawing up the PDB for the decentralised agencies for 2009; considers that this is undoubtedly a step towards greater budgetary transparency;
19	Draws attention to the fact that the current use of the assigned revenue instruments still bears risks for budgetary transparency and sound financial management of EU funds insofar as estimations of assigned revenue remain difficult and the various types, years of origin and procedures to release assigned revenue does not enable them to be integrated in the budget planning and management in a clear manner;
