A	whereas the Community transit system facilitates the movement of Community goods and of non-Community goods imported from or exported to third countries throughout the territory of the EU by temporarily suspending customs duties and other taxes until the goods reach their final destination,
B	whereas, following the results of the Committee of Inquiry, Parliament, supported by the Council and the Court of Auditors, had recommended that, in order to prevent fraud, transit movements be computerised, the legal framework be revised and the Commission and the Member States improve physical checks based on common risk analysis,
C	whereas the above-mentioned Committee of Inquiry, which was Parliament's first Committee of Inquiry, succeeded in bringing the issue of transit out of the administrative undergrowth into the political arena, triggered a shift in response from stakeholders and proved that committees of inquiry can have substantial added value in the political process and benefit EU citizens,
1	Welcomes the Court of Auditors' Special Report No 11/2006; notes that the Court of Auditors performed audit visits in 11 Member States which account for 80 % of transit movements; recalls that, in the case of high tax and low weight products like cigarettes, fraudsters can make a huge profit from a small number of movements; requests the Court of Auditors to follow up on its findings not only with the 11 Member States visited, but also with other Member States;
2	Notes that, despite substantial delays, the New Computerised Transit System (NCTS) has been operational in all Member States since January 2006, although performance varies from Member State to Member State; considers that this an enormous change compared to the old archaic paper-based procedure; notes that, from a technical point of view, the Commission coordinated the implementation of the NCTS in the Member States successfully;
3	Notes that, unlike the old paper-based procedure, the NCTS prevents false clearance of transit operations with the help of falsified documents or forged stamps; recalls that the NCTS should also help to detect, in real time, cases of goods being removed from customs supervision before their arrival at the final destination and to trigger the immediate start of enquiries; takes note of the Court of Auditors' findings and regrets that none of the 11 Member States visited respected the deadlines for starting enquiries; calls on the Commission to pay attention to the fact that the NCTS cannot prevent a false declaration of goods and to take appropriate action so that incorrect declarations of goods can be properly dealt with;
4	Is worried about the numerous weaknesses that the Court of Auditors found in Member States' application of the revised legal framework, in particular with regard to the verification of procedure simplifications, enquiries and recoveries; notes that the Court of Auditors presented a detailed list of shortcomings and of the Member States concerned (see Annex 1 of the Court of Auditors' Special Report No 11/2006);
5	Recalls that under the Own Resources Regulation(3) Member States are obliged to enter duties established in the A account and make them available to the Commission in the second month following the month in which the entitlement was established, less collection costs; notes that, as an exception, Member States may enter duties which remain unpaid, unsecured or under appeal in the B account; is worried by the Court's finding that in Germany, Spain, France, Belgium and Hungary duties on non-completed transits were entered in the B accounts although they were covered by guarantees; notes that in some Member States, administrative practice with regard to the B accounts is questionable;
6	Calls on the Commission to start infringement procedures against Member States whenever errors with regard to the B account are not one-off, but systematic and structural; is satisfied that, over the last two years, following infringement procedures brought by the Commission against several Member States, the European Court of Justice has delivered a number of important judgements confirming the Commission's interpretation of the rules; is of the opinion that the proper functioning of the system of A and B accounts needs to be reconsidered after 2009;
7	Observes that the House of Lords(4) considers that approximately 4% of the UK's potential VAT revenue is being lost each year due to carousel fraud; notes the House of Lords' findings that, although it appeared more lucrative to commit VAT fraud in intra-Community trade, it can also occur in trade involving trade with third countries; is deeply concerned about the House of Lords' explanations that, in the latter case, the abuse of the Community transit system forms part of the classical pattern of carousel fraud;
8	"Is alarmed that the House of Lords collected evidence that cargo planes are chartered each week to carry electronic goods out of the EU as part of carousel fraud; observes that the House of Lords, taking into account the Court of Auditors' Special Report No 11/2006, concluded: ""This type of fraud is able to occur because of poor management and oversight of the Community Transit System by Member States"";"
9	"Is grateful that the House of Lords addressed the vulnerability of the Community transit system to fraud, although the Court of Auditors had not focused on the UK in particular; warmly welcomes the House of Lords' recommendation ""that Government works with other Member States to ensure that the Court of Auditors' proposed changes to the Community Transit system are prioritised in order to attack the supply chain for this variant of (...) fraud""; calls on the other Member States to cooperate with the UK Government in order finally to make the Community Transit System fraud proof; calls on the Commission to coordinate this cooperation;"
10	Believes that new ways towards better coordination of the fight against fiscal fraud at EU level should be explored; welcomes the Commission's initiatives in this respect, in particular its Communication of 31 May 2006 concerning the need to develop a coordinated strategy to improve the fight against fiscal fraud (COM(2006)0254); notes that the ECOFIN Council of 5 June 2007, on the basis of the Commission's proposals, asked the Commission not only to present legislative proposals on conventional anti-fraud measures, but also to further explore the more far-reaching anti-fraud measures such as taxation in the Member States of departure or the introduction of an optional reverse charge system; notes that under the reverse charge system, the liability for tax payments is shifted from the supplying to the recipient company;
11	Is satisfied that the ECOFIN Council of 5 June 2007 invited the Commission to analyse the effects of an optional reverse charge mechanism and to submit its findings to the Council by the end of 2007; notes in particular that the Council asked the Commission to examine the possibility of running a pilot project in Austria; invites the Commission to present its findings also to Parliament;
12	Notes that, as of June 2007, the United Kingdom has been granted a derogation from the VAT rules allowing the application of a reverse charge for VAT on mobile telephones and computer chips; invites the Commission to present its evaluation of the effectiveness of this measure, which is scheduled for 2009, also to Parliament;
13	Highlights the fact that with derogations departing from general Community provisions on VAT collection there is always the attendant risk that such derogations will not stop fraudulent activities, but rather simply shift these activities into other sectors of the economy or other countries;
14	Emphasises that it must remain a priority objective to lay down a joint strategy at Community level to combat fiscal fraud;
15	Asks the Court of Auditors for an opinion on the Commission's legislative proposals expected by the Council for the end of 2007;
16	Is shocked by the Court of Auditors' finding that the Commission did not carry out any own resources inspections focusing on transit between 2001 and 2005 but only in 2006; requests the Commission to inform Parliament of how the lack of inspections will be remedied in the future;
17	Notes that the Committee of Inquiry considered the investment for the NCTS to be relatively small; observes that it relied on the Commission's estimates that the NCTS would reduce fraud substantially and provide for a benefit of EUR 5 to 10 billion over a five year period; notes that an external study commissioned by the Commission in 2006 estimated the total costs of the NCTS at EUR 359 000 000; regrets that there was only very limited data available and no data at all on amounts retrieved from fraud detection;
18	"In addition, notes the following findings of the Court of Auditors(5): ""An assessment of the effectiveness of the reform of the transit system, in terms of reducing transit fraud, would require reliable and complete data on fraud at EU level"	"The audit showed, however, that the reliability and completeness of the available main sources of data on fraud and irregularities in transit at EU level cannot be assured""; is not prepared to regard the relationship between the costs and benefits of the NCTS as positive until the Commission presents data on how far NCTS reduces fraud and prevents losses of own resources; "
19	Notes the Court of Auditors' request that the Commission be granted full access to information systems available or foreseen for all kinds of goods - not only for sensitive goods - for the purpose of operational and strategic analysis and risk management, while ensuring adequate protection of personal data(6); notes that the Court of Auditors gives the examples of the NCTS, ECS (Export Control System), AIS (Automated Import System) and EMCS (Excise Movement and Control System);
20	Calls on the Commission services responsible for information exchange systems relating to irregularities and fraud, namely DG Taxation and Customs Union (TAXUD), DG Budget (BUDG) and the European Anti-Fraud Office (OLAF), to consolidate these databases, to provide the Community with reliable and complete statistics on how far its activities actually reduce irregularities and fraud, to establish a common approach to risk analysis at the Community and national levels and to coordinate physical checks accordingly; asks the Commission to report on its findings to Parliament and its Committee on Budgetary Control by the end of 2008;
21	Regrets the fact that, although the Committee of Inquiry had already urged the Commission to establish a common policy on risk management in 1997, a common risk management framework for transit and other customs procedures was only laid down in Community law for the first time in Regulation (EC) No 648/2005(7), which provides for long transition periods before Member States are obliged to implement computerised risk management;
22	Notes that, under Community legislation, the definition of risks in transit and other customs procedure explicitly includes events compromising the financial interests of the Community and the Member States; notes that, according to the Court of Auditors' Special Report No 11/2006, the Commission services have not yet addressed the risk of transit fraud properly;
23	Considers that OLAF's work urgently needs to be further facilitated in order to enable it to effectively protect the Community's financial interests; calls, therefore, on the budgetary authority to freeze further financing for the NCTS until OLAF has full access to NCTS data in practice, which access will provide an overview of the consolidated traffic routings of sensitive goods in transit and also enable strategic and operational analysis to be carried out in relation to such goods; points out that OLAF must also have access to those data when the decision of the European Parliament and of the Council on a paperless environment for customs and trade proposed by the Commission (COM(2005)0609) comes into force;
24	"Congratulates OLAF, which successfully coordinated the customs authorities of all 27 Member States during the operation ""Diabolo"" in February 2007, leading to a seizure of 135 million counterfeit cigarettes and other counterfeit products and preventing a potential loss to the Community and Member States' budgets of EUR 220 000 000;"
25	"Notes that, as regards risk management in the Member States, the Court of Auditors' Special Report No 11/2006 concludes that ""systematic risk management for transit is rudimentary or non-existent in many Member States and only a few of them have risk profiles integrated into NCTS""(8); is satisfied that some Member States have already reacted to the Court of Auditors' findings and are currently including risk analysis tools in their national NCTS application; encourages the Court of Auditors to follow up its findings on risk management with each Member State; calls on Member States to ensure compliance with Community legislation on risk management in transit and other customs procedures;"
26	Notes that the customs authorities of some Member States use more advanced technologies than others, for example for the scanning of containers entering EU ports; fears that fraudsters may focus on ports using less advanced technologies; requests the Commission to monitor technological developments and to promote state of the art technology throughout the EU;
27	Points out that any cross-border information exchange system will only work if customs administrations are well-equipped and customs officials well trained; welcomes therefore the extension of the Community action programme for customs until 2013; calls on the Council to speed up the legislative procedure to extend the Fiscalis programme concerning the improvement of the operation of taxation systems in the internal market to 2013; points out that particular attention should be paid to the participation in these programmes of candidate, neighbouring and other third countries, not least in view of addressing the problem of tax havens;
28	Calls on the Commission to see to it that cooperation concerning customs matters with countries bordering the EU is further enhanced; considers that the situation at the border of Kaliningrad has improved but that there are still substantial illegal imports of cigarettes and other goods;
