A	whereas the European social model reflects a common set of values, based on the preservation of peace, social justice, equality, solidarity, the promotion of freedom and democracy, and respect for human rights,
B	whereas one of the cornerstones of the European social model is the social economy,
C	whereas in the last 60 years, the set of common values reflected in the European social model has allowed a growing EU successfully to become an area of greater economic prosperity and social justice,
D	whereas, although Member States have different social systems, and have implemented these values in different ways, they commonly aim to attain a balance based on active interdependence between economic growth and social solidarity, and this is reflected in the European social model as a unity of values with a diversity of systems,
E	whereas Member States and the EU have given priority to upholding the values associated with the European social model, demonstrated by the objectives of the Lisbon Strategy, which makes social development one of the pillars of sustainable development,
F	whereas there is a clear need to modernise and reform the European social model to respond to demographic changes, meet the challenge of globalisation, and increase the adaptability of human resources to rapid technological evolution, in order to better achieve social inclusion, social justice, and the eradication of poverty,
G	whereas the European social model must provide measures that meet the challenge of increased migration and immigration and their implications for social cohesion,
H	whereas any reform of the European social model must not dilute the values that constitute its essence,
I	whereas a core message of the European social model is equal pay for equal work at the place of work,
J	whereas higher economic growth is paramount for the sustainability of European social standards, and social standards are intrinsic to sustainable growth,
K	whereas an adequate income is fundamental to social inclusion and active participation in society as well as a life of dignity,
L	whereas social policies, when appropriately designed, should not be regarded as a cost but, instead, as a positive factor in the EU's economic growth, not only by increasing productivity and competitiveness, but also by generating social cohesion, raising living standards for citizens, and ensuring access to fundamental rights and equality, thus becoming an important factor in ensuring societal peace and political stability, without which there can be no lasting economic progress,
M	whereas such social policies must recognise that the majority of employers are small and medium-sized enterprises (SMEs), and that they employ the majority of employees,
N	whereas services of general interest (SGIs) and services of general economic interest (SGEIs) were expressly recognised for the first time in the Amsterdam Treaty as core elements of how Member States ensure social and territorial cohesion and as areas which Member States retained the right to define and to fund, and this position was reinforced in the Treaty establishing a Constitution for Europe,
O	whereas the concept of the European social model is reflected in that constitutional Treaty, and is underpinned by the principles of equality, solidarity and non-discrimination,
P	whereas the Member States should follow the Roadmap for equality between women and men 2006-2010 (COM(2006)0092), and the European Pact for Gender Equality, and fully transpose current Community anti-discrimination legislation into national law,
Q	whereas the EU has the capacity positively or negatively to influence the economies in many other parts of the world, by the way in which it trades, both in terms of its role in the WTO and in the conditions that it applies and the agreements into which it enters with less developed regions and countries,
R	whereas the implementation of a trade policy based on European collective preferences and globally shared values, and an aid policy aimed at eliminating child labour and promoting education, basic labour and environmental standards, and standards of transparency and good governance, will contribute to the enhancement of the political strength of the EU in international institutions,
1	Stresses the necessity of preserving and enhancing the values associated with the European social model: equality, solidarity, individual rights and responsibilities, non-discrimination and redistribution with access for all citizens to high-quality public services, and the high social standards already achieved;
2	Insists that only an EU based on economic and social cohesion that defends its common values can be strong enough to protect its interests;
3	Is convinced that there is no alternative to urgently reforming economic and social systems where they fail to meet the criteria of efficiency and socially sustainable development, and where they are inadequate to tackle the challenges of demographic change, globalisation and the IT revolution;
4	Expresses its deep disappointment at the present growth rate in the EU which makes structural reform  extremely difficult;
5	Is aware of the widespread concerns among EU citizens regarding unemployment − especially unemployment among young people − exclusion, poverty, insecurity on the job market, and the potential failure of social security systems;
6	Believes that where demographic changes and unemployment affect certain groups disproportionately the European Union must aim to ensure equal access to high-quality jobs;
7	Views the need to renew the EU's commitment to a social Europe as of paramount importance in restoring citizens' confidence in the EU project, which provides jobs, growth and prosperity;
8	Is fully aware that employment and social policy remain broadly within national competence, but stresses that the EU also has competences in this field, as set out in the Treaties, and that there is a need for the EU to create a stronger economic and social framework, in order to allow Member States to implement reforms as necessary at national level, according to their own economic, social and political circumstances;
9	"Asks the Commission to take further initiatives to achieve the full implementation of the internal market, which, if fully realised, will create economic growth and competitiveness, having regard to the need to exclude any ""race to the bottom"" in social, consumer or environmental standards;"
10	Supports the Commission in its efforts to encourage the creation and success of European enterprises, with particular reference to SMEs, which contribute greatly to the EU economy and account for the great majority of private-sector employees;
11	Calls on the Commission and the Council to respect the initial equilateral triangle of the Lisbon Strategy and to develop an approach that is better balanced between economic coordination on the one hand and employment and social policy on the other;
12	Expresses its disappointment that many Member States are far from achieving the Lisbon Strategy objectives; therefore reiterates the call on Member States fully to implement the revised Lisbon Strategy, which is considered to be the only sustainable way to achieve economic growth, increase competitiveness and create more and better jobs; calls on the Member States to achieve, in particular, the specific targets set for employment, especially of women and young people, R&D investment, childcare and lifelong learning; views the objectives of the Lisbon Strategy as minimum goals that are vital if the Member States are to undertake the necessary structural reforms;
13	Recommends that Member States deepen cooperation and the exchange of best practice through the enhanced open method of coordination, thereby providing an efficient policy making instrument in the fields of employment, social protection, social exclusion, gender equality in the labour market, pensions, and healthcare; believes that the open method of coordination should enhance the role of parliaments, social partners and relevant organisations;
