A	whereas consumption is one of the essential drivers for growth in the European Union, and consumers therefore play a vital role in the EU economy;
B	whereas the protection of consumers and their rights is one of the Union’s fundamental values:
C	whereas Directive 2005/29/EC on unfair commercial practices is the European Union’s main legislative tool regulating misleading advertising and other unfair practices in business-to-consumer transactions;
D	whereas the Directive aims, through the ‘internal market’ clause, to ensure a high level of consumer protection throughout the European Union and to boost consumer confidence in the Single Market, whilst guaranteeing businesses significant legal certainty and a reduction in barriers to cross-border trade;
E	whereas there have been major differences in the implementation of Directive 2005/29/EC from one Member State to another;
F	whereas the temporary derogations allowing Member States to continue to apply national provisions that were more restrictive or prescriptive than the Directive and that implemented minimum harmonisation clauses in other EU legislative instruments expired on 12 June 2013;
G	whereas Member States which so wish are free to extend application of the Directive to business-to-business relations, and whereas to date only four Member States have chosen to do so;
H	whereas the Commission has announced that it will propose shortly a review focusing on business-to-business relations of Directive 2006/114/EC on misleading and comparative advertising;
I	whereas the development of the digital economy and all its technological applications have revolutionised purchasing methods and the way in which businesses sell and advertise their goods and services;
J	whereas some undertakings, particularly the smaller ones, as well as many consumers, are still insufficiently aware of consumers’ rights in Europe;
K	whereas it is necessary to strengthen the role of consumers’ associations and enable them to enhance their capacities;
1	Lays stress on the effectiveness of the legislation established by the Directive and its importance in making consumers and traders more confident with regard to transactions within the internal market (particularly cross-border transactions), in guaranteeing businesses greater legal certainty, and in helping to enhance consumer protection in the Union; stresses that disparities in the application of the Directive risk impairing its effectiveness;
2	Regrets that despite provisions in Directive 2006/114/EC to combat misleading practices in business-to-business advertising, some of these practices, notably ‘directory scams’, still persist; notes the Commission’s intention to propose shortly amendments to Directive 2006/114/EC focusing on business-to-business relations, in order to combat these practices more effectively; suggests that the Commission could, in this context, consider the merits of a targeted black list of commercial practices that are to be considered unfair in all circumstances in the field of business-to-business relations for Directive 2006/114/EC, similar to that which already exists for Directive 2005/29/EC; does not, however, consider it appropriate for the moment to extend the scope of Directive 2005/29/EC on business-to-consumer relations to include business-to-business unfair commercial practices;
3	Calls on the Commission to clarify the relationship between Directives 2005/29/EC and 2006/114/EC, in order to guarantee a high level of protection for all economic operators in the Union, particularly consumers and SMEs, from fraudulent and unfair practices, thus boosting confidence within the Single Market;
4	Takes the view that the derogations laid down for the property and financial services sectors are justified and that it is appropriate for them to be retained;
5	Considers that it would not be appropriate at this stage to expand the black list in Annex I; calls however on the Commission to draw up a list of practices which national authorities have identified as unfair within the meaning of the general principles of the Directive, in order to assess whether such an expansion would be advisable in the future;
6	Notes that with certain forms of consumer-to-business engagement, consumers may be victims of unfair commercial practices, for example when selling a product on to a trader; calls on the Commission to investigate problems of this kind and, if appropriate, explore targeted and practical remedies which might include inter alia more flexible interpretations of the provisions of Directive 2005/29/EC on unfair commercial practices, and could be explained in the Commission’s guidance on the application of this Directive;
7	Recalls that, with effect from 12 June 2013, Member States may no longer maintain the provisions retained until that date as temporary derogations; calls as a consequence on Member States to comply with the Directive as swiftly as possible; at the same time, calls on the Commission to carry out research into how Member States have transposed the Directive, in particular regarding national prohibitions not included in Annex I, and to submit within 2 years to Parliament and to the Council a new comprehensive report on its application, containing, in particular, an analysis on the scope for further harmonisation and simplification of Community law relating to consumer protection and suggestions for any necessary measures to be taken at Community level to ensure that a high level of consumer protection is maintained;
8	Reasserts the importance and absolute necessity of the Directive being fully and uniformly applied and properly implemented by Member States in order to eliminate legal and operational uncertainties for businesses operating across borders; notes with disquiet that in 2011 and 2012 the Commission was obliged to employ the ‘EU Pilot’ consultation system because several Member States had failed to transpose the Directive correctly; calls on the Member States to support enforcement at national level with all available means, in particular with sufficient resources; stresses the essential role of stepping up cooperation between the national authorities responsible for implementing the Directive as well as the importance of building up a structured dialogue between public enforcers and other stakeholders, in particular consumer associations;
9	Notes that, since the expiry of the deadline for implementation of the Directive in 2007, there have been numerous cases of Member States not correctly implementing or applying key provisions, in particular the black list of banned, misleading and aggressive commercial practice; calls therefore on the Commission to continue monitoring closely application of the Directive and, if necessary, to bring proceedings against Member States which infringe the Directive or fail to implement it or to apply it correctly, in accordance with the Treaty on the Functioning of the European Union; calls in particular on the Commission to urgently resolve any outstanding issues with regard to the consultations launched in 2011, either by terminating the infringement procedures or by referring them to the Court of Justice;
10	Supports the Commission’s wish to draw up a list of indicators to evaluate the effectiveness of the mechanism whereby the Member States implement the Directive;
11	Welcomes the fact that since the Directive was transposed in Member States, cross-border purchases have increased; recalls however that reinforced cooperation and coordination between the Commission and national authorities is essential in order to promote converging practices in implementation, and to provide a rapid and efficient response; notes that particular attention should be paid to dealing with cross-border online purchasing, especially where price comparison websites do not clearly disclose the identity of the trader operating the site;
12	Reasserts the importance of enhanced cooperation between national authorities responsible for applying the Directive in order to achieve its full application and proper implementation by the Member States; encourages the Commission in this respect to examine thoroughly the scope, effectiveness and operational mechanisms of the Consumer Protection Cooperation Regulation (CPC Regulation), as it has committed itself to doing before the end of 2014; welcomes, with that in mind, the recent opening by the Commission of a public consultation on the revision of that regulation and the availability of the consultation in all EU languages; calls on involved stakeholders to take a part in this consultation;
13	Stresses the usefulness of the ‘sweeps’ carried out under the CPC Regulation and calls on the Commission to further develop and strengthen them and broaden their scope; urges the Commission to summarise the data collected and the list of actions taken by the Commission and Member States in the wake of these sweeps, and to publish its findings, while taking into account the need to ensure the confidentiality of certain sensitive information that is being used in the framework of a judicial procedure at national level; calls on the Commission to report to Parliament on its findings and to further propose additional measures if needed in order to improve the functioning of the internal market;
14	Agrees that further efforts should be made to strengthen the enforcement of the Unfair Commercial Practices Directive in relation to vulnerable consumers;
15	Expresses concern at the conflicts of interest involved and the misleading use to which some traders are putting customer review tools and price comparison websites; welcomes the Commission’s decision to consider how the information provided on such platforms might be made clearer to consumers;
