A	whereas at the European Council meeting in Gothenburg in June 2001
N	whereas the Commission and the Council, in adopting the Habitats Directive in 1992, made a clear commitment to ensure that landowners and landusers would not bear the financial burden of the measures in the directive; strongly urging that this promise be kept,
1	Notes that the Natura 2000 network of protected areas across the EU is one of the main pillars of EU action on biodiversity and that much of Europe's biodiversity has already been lost;
2	Notes that healthy ecosystems provide important social and economic resources as well as recreation opportunities and support for farming and fisheries;
3	"Welcomes the initiative of the Commission to propose a strategic approach to co-finance Natura 2000 and the statement made by Commissioner Dimas at the International Conference on ""Biodiversity, Science and Governance"" on 24 January 2005 in Paris;"
4	Points out that structural fund funding for Natura 2000 is in accordance with the Cardiff Process of integrating environmental considerations in all key policy areas
5	Welcomes the Commission statement that the EU rural development and structural funds should make a substantial contribution towards co-financing the Natura 2000 network; further welcomes the enabling of financing for Natura 2000 from rural development and structural funds; nevertheless, having examined the relevant proposals (structural, rural and Life+), considers them insufficient for the adequate co-funding of the Natura 2000 network and therefore also insists that a dedicated fund be set up for this purpose;
6	Believes that, as a significant part of Natura 2000 expenditure is to be included in the Rural Development Fund and/or the Structural Funds, the endowment of the funds needs to be increased accordingly;
7	Calls for the establishment after 2006 of a dedicated EU fund for biodiversity within the LIFE+ proposal, providing funding for Natura 2000 management activities that cannot be funded from either structural or rural development funds;
8	Believes that the Rural Development Funds can be used to compensate the extra farming costs in Natura 2000 sites, provided that this does not reduce the required funding  for  other measures within  rural development, animal welfare, agri-environmental measures and other objectives included in the proposed Rural Development Funds regulation;
9	Recognises that, while the integration approach might be effective if it is implemented in a robust manner, past experience shows success has been limited; considers that the proposed rural development and structural fund regulations fail to reflect adequate Natura 2000 provisions, failing to deliver upon the Communication's ambition and putting the EU 2010 biodiversity target at risk, inter alia due to the following:
10	"Stresses that Natura 2000 sites and nature resources deliver key public benefits, often to economically isolated areas, including significant direct local spending, increasing tourism potential, significant health benefits, a growing employment sector at present estimated at 125,000 jobs in the EU-15 and comparable advantages in the  new Member States
, educational resources and high value ecological life-support systems;"
11	"Considers that the distribution of the funds in question should be proportionate among all the Member States (old and new ones)
  and should reflect the size of the territories and the degree of biodiversity of the sites concerned;"
12	Calls on the Commission to adjust its proposal for the Financial Instrument for the Environment, LIFE+, to include a dedicated biodiversity objective within that fund to provide funding for the management of Natura 2000 sites complementary to the rural development, structural and the fisheries funds, and complementary to funds made available by the Member States, including for special nature conservation investments, projects and emergencies; for nature conservation research, education and awareness-raising; and for cross-border cooperation with third countries on nature conservation projects;
13	"Calls for changes to the proposal for a Council Regulation laying down general provisions on the European Regional Development Fund, the European Social Fund and the Cohesion Fund
 to include specific reference to Natura 2000 in order to ensure the eligibility of Natura 2000 activities for financing from the structural funds;"
14	Stresses that the Commission's calculation of the annual cost of the Natura 2000 network of EUR 6.1 billion is likely to be a significant under-estimate of the full cost of managing the network, and therefore should only be considered as the minimum necessary; further stresses that the calculation does not take into account the accession of the new Member States (Romania, Bulgaria and Croatia), and that the financial needs must be recalculated in order to cover the Natura 2000 network in the whole EU;
15	Invites the Commission to report to the European Parliament on the implementation of the integrated approach when the outcome of the structural, fisheries and rural development regulations is known, and in the event that no earmarked funds for Natura 2000 management are included, to make a proposal for a dedicated fund for this purpose, which should include a policy to provide information on and raise public awareness of nature-conservation issues, with the aim of highlighting  the development-related, economic and social benefits resulting from the application of the proposed measures;
16	Welcomes the Commission's intention to incorporate nature-conservation policy in the broader framework of sustainable economic, social and regional development in the European Union; considers, however, that its final proposal does not demonstrate its firm resolve to provide sufficient funding for this policy and ensure its successful implementation;
17	Supports the Commission's intention to publish detailed guidance on how to use the structural funds to support the Natura 2000 network and calls on the Commission to make good its assurances that Natura 2000 financing will be listed as a priority in the forthcoming Community Strategic Guidelines for Cohesion Policy;
18	Calls for the recognition, by means of encouraging and spreading best-practice, of those territorial units which demonstrate their ability to manage their respective Natura 2000 areas cost-efficiently in both environmental and financial terms;
19	Stresses the importance of involving the national parliaments, the social partners, civil society and regional and local authorities in implementing these objectives, by promoting proper public consultation;
20	Instructs its President to forward this resolution to the Council and Commission.
